name,id,lat,lon,cumulative_revenue,design_capacity,capital_cost,project_type,traffic_per_day,target_traffic_per_day,fee_effective_year
103,4495,14.736039,79.049052,0,0,0,6,0,73351.6728,2021
236,4496,21.147001,86.117538,0,0,0,2,5420,32834,2021
320,4497,21.508544,85.826198,0,0,0,2,5420,32834,2021
48,4498,21.710167,85.5836,0,0,0,2,5420,32834,2021
310,4499,24.522264,81.365223,0,0,0,6,7760,7760,2021
623,4500,24.395853,81.802372,0,0,0,6,8349,8349,2021
376,4501,29.292067,75.648213,0,0,0,6,0,73351.6728,2021
465,4502,29.578554,76.088477,0,0,0,2,21919,21919,2021
36,4503,29.299141,75.819719,0,0,0,2,21919,21919,2021
118,4504,28.99832,75.604417,0,0,0,2,21919,21919,2021
283,4505,30.265789,76.148309,0,0,0,6,0,73351.6728,2021
33,4506,30.247772,75.640226,0,0,0,6,0,73351.6728,2021
75,4507,29.060626,77.064081,0,0,0,6,0,73351.6728,2021
626,4508,23.548753,85.756866,0,0,0,6,0,73351.6728,2021
643,4509,23.668354,86.045229,0,0,0,6,0,73351.6728,2021
174,4510,26.062927,72.673202,0,0,0,6,0,73351.6728,2021
498,4511,10.612499,79.0306,0,0,0,6,0,73351.6728,2021
413,4512,17.745596,77.317882,0,0,0,2,0,73351.6728,2021
287,4513,17.645717,77.820114,0,0,0,2,0,73351.6728,2021
694,4515,0,0,0,0,0,2,0,73351.6728,2021
641,4520,1,1,0,0,0,2,0,73351.6728,2021
162,4536,28.930785,79.475734,0,0,0,2,14200,22461,2021
270,4537,24.097278,76.988952,0,0,0,2,425284,425284,2021
495,4538,24.517835,77.186491,0,0,0,2,425284,506490,2021
574,4539,25.155846,75.781932,0,0,0,6,9989,9989,2021
474,4540,25.132506,75.796565,0,0,0,6,9989,9989,2021
407,4541,21.702698,73.059975,0,0,0,6,13862625,13862625,2021
65,4542,14.708361,78.872406,0,0,0,6,8841,8841,2021
460,4543,15.741038,78.070783,0,0,0,2,9538,25300,2021
544,4544,25.245762,77.615602,0,0,0,6,2104004,32441,2021
53,4545,23.491222,87.376575,0,0,0,2,46326,71077,2021
595,4546,25.637124,78.875044,0,0,0,5,157528,157528,2021
55,4547,28.941,79.8157,0,0,0,6,4302,4800,2021
237,4548,25.562272,71.407666,0,0,0,6,6498,6498,2021
99,4549,25.105861,71.549558,0,0,0,6,5519,5519,2021
232,4550,27.26549,73.856074,0,0,0,2,6793,6793,2021
482,4551,27.30534,74.1915,0,0,0,2,6295,6295,2021
267,4552,25.865,80.691,0,0,0,6,8970,8970,2021
5,4553,26.197,81.0326,0,0,0,6,9331,9331,2021
384,4554,25.467,41.293,0,0,0,6,11014,9872,2021
433,4555,30.21128,77.194411,0,0,0,6,1006130,1006130,2021
180,4556,13.7143,78.873269,0,0,0,6,9992,9992,2021
105,4557,14.543265,79.862348,0,0,0,6,8309,8309,2021
144,4558,14.6854,79.5156,0,0,0,6,6112,6112,2021
697,4559,40.32217,9.3264,0,0,0,6,3651,4000,2021
382,4560,30.233092,75.102496,0,0,0,2,0,73351.6728,2021
497,4561,30.4,75.5,0,0,0,6,0,73351.6728,2021
167,4562,76.499529,30.39255,0,0,0,6,0,73351.6728,2021
26,4563,76.759305,30.5930556,0,0,0,6,20000,20000,2021
86,4566,29.29914,75.81971,0,0,0,6,0,73351.6728,2021
230,4567,15.818714,77.453999,0,0,0,6,4559,4559,2021
554,4568,27.0175781,72.0194626,0,0,0,6,0,73351.6728,2021
378,4569,27.0298347,71.446434,0,0,0,6,0,73351.6728,2021
444,4570,25.668,77.73,0,0,0,2,421000,421000,2021
508,4571,26.0978,78.0158,0,0,0,2,486000,486000,2021
576,4572,28.00137,73.06546,0,0,0,2,3960,14415,2021
485,4573,27.45006,72.40303,0,0,0,2,2250,14415,2021
329,4574,27.2827777,72.3230556,0,0,0,2,2831,14415,2021
333,4575,29.880727,74.793736,0,0,0,6,0,73351.6728,2021
520,4576,25.4817,92.2882,0,0,0,6,15904,15904,2021
385,4577,25.706,92.3756,0,0,0,6,15809,15809,2021
158,4578,16.4126432,80.7859938,0,0,0,6,25269,25269,2021
507,4579,80.8085833,22.3905556,0,0,0,6,6533,6533,2021
653,4580,9.780999,78.335299,0,0,0,6,6195,6195,2021
435,4581,28.5798201,78.7958556,0,0,0,6,11739,11014,2021
178,4582,19.24404,74.013274,0,0,0,6,36468,36468,2021
621,4583,25.924072,84.967898,0,0,0,6,2508,2508,2021
535,4584,26.055956,85.182733,0,0,0,6,1582,1582,2021
73,4585,28.1859646,78.3630407,0,0,0,6,1741,15901,2021
228,4586,27.08318,83.232649,0,0,0,6,0,73351.6728,2021
121,4588,28.70178,77.621477,0,0,0,6,59033,198911,2021
56,4589,26.6293177,81.3336137,0,0,0,6,19528,19528,2021
23,4590,26.18151,81.56264,0,0,0,6,11780,11780,2021
332,4591,24.122464,80.599361,0,0,0,6,6254,6254,2021
95,4592,9.398195,78.71394,0,0,0,6,5376,5376,2021
169,4593,19.15597,74.41116,0,0,0,6,79121,79121,2021
399,4594,23.48399,80.30481,0,0,0,6,9962,9962,2021
526,4595,23.24908,82.05883,0,0,0,6,3489,3489,2021
602,4596,23.28186,81.429282,0,0,0,6,9962,9962,2021
124,4597,23.657222,76.614862,0,0,0,6,830120,21919,2021
565,4598,23.330918,76.175973,0,0,0,6,1081030,21919,2021
156,4599,22.741519,74.836537,0,0,0,6,3359,3359,2021
429,4600,22.6731595,75.545744,0,0,0,6,3236,3236,2021
450,4601,18.002244,79.903564,0,0,0,6,418,418,2021
14,4602,26.3827777,80.8863888,0,0,0,6,1078,825,2021
516,4603,18.63166,75.6977,0,0,0,6,18304,20102,2021
493,4604,19.3181,75.7487,0,0,0,6,24075,30420,2021
90,4605,19.60083,75.6152,0,0,0,6,17240,27185,2021
258,4606,20.604749,81.419576,0,0,0,6,9943,9943,2021
420,4607,19.662176,81.658696,0,0,0,6,9220,9220,2021
32,4608,19.161402,81.98472,0,0,0,6,0,73351.6728,2021
579,4609,80.030222,23.105109,0,0,0,6,10953,10953,2021
10,4611,26.7024838,82.6745948,0,0,0,6,12221,12221,2021
125,4612,27.2644,83.3643,0,0,0,6,10304,10304,2021
454,4613,26.9209,83.297,0,0,0,6,2390,2390,2021
437,4614,23.418277,80.078098,0,0,0,6,12826,12826,2021
487,4615,24.404862,81.079578,0,0,0,6,12882,12882,2021
208,4617,17.1387,82.2718,0,0,0,6,4983,4983,2021
421,4618,13.1766,80.2449,0,0,0,6,13425,13425,2021
172,4619,19.0990474,78.2133991,0,0,0,6,0,73351.6728,2021
406,4620,24.966405,75.93462,0,0,0,6,25055,25055,2021
281,4621,26.630978,71.205575,0,0,0,6,2321,2321,2021
530,4622,26.3395,82.244267,0,0,0,6,0,73351.6728,2021
6,4623,26.245278,81.593749,0,0,0,6,0,73351.6728,2021
571,4626,28.1602222,80.1005555,0,0,0,6,0,73351.6728,2021
525,4627,26.565182,90.238792,0,0,0,6,7467,7467,2021
290,4628,16.786827,75.739668,0,0,0,6,11626,11626,2021
235,4629,67.7752043,18.82095,0,0,0,6,8524,8524,2021
640,5626,17.826227,76.74068,0,0,0,2,101421,101421,2021
529,5627,17.79978,76.193308,0,0,0,2,101421,101421,2021
96,5628,23.047864,79.907251,0,0,0,6,10023,10023,2021
592,5629,23.257753,77.638119,0,0,0,6,0,73351.6728,2021
250,5630,20.551197,78.039108,0,0,0,6,7474,15741,2021
70,5631,14.710895,74.2936251,0,0,0,6,105618,105618,2021
247,5632,14.3593904,74.419155,0,0,0,6,145318,145318,2021
609,5633,13.9334681,74.5966233,0,0,0,6,122563,122563,2021
578,5634,23.629195,88.36003,0,0,0,2,22195,22195,2021
473,5636,25.558856,81.772125,0,0,0,5,42336,42336,2021
21,5637,18.127774,76.358179,0,0,0,6,100243,100243,2021
456,5638,21.7575,88.233611,0,0,0,6,1732,1732,2021
443,5639,27.2038,77.5011,0,0,0,6,512,11246,2021
89,5640,21.950763,82.061806,0,0,0,6,6500,16714,2021
229,5641,20.857818,78.876369,0,0,0,6,7474,15741,2021
668,5642,22.96882,72.65872,0,0,0,6,0,73351.6728,2021
263,5643,30.211173,77.194286,0,0,0,6,0,73351.6728,2021
76,5644,30.7609536,76.6078459,0,0,0,6,0,73351.6728,2021
205,5645,30.84737,76.13282,0,0,0,6,0,73351.6728,2021
431,5646,26.1311484,92.8389911,0,0,0,6,0,73351.6728,2021
81,5648,26.640821,82.134434,0,0,0,6,0,73351.6728,2021
279,5649,25.634583,15.002951,0,0,0,6,0,73351.6728,2021
370,5650,25.482404,75.31341,0,0,0,6,0,73351.6728,2021
502,5651,25.884209,75.958515,0,0,0,6,0,73351.6728,2021
364,5652,30.209841,78.125409,0,0,0,6,0,73351.6728,2021
213,5653,17.268021,80.679776,0,0,0,6,0,73351.6728,2021
340,5654,28.69299,76.158534,0,0,0,6,0,73351.6728,2021
358,5655,21.6975366,69.5328098,0,0,0,6,0,73351.6728,2021
488,5656,22.080199,69.1338701,0,0,0,6,0,73351.6728,2021
28,5657,31.0114039,76.389817,0,0,0,6,0,73351.6728,2021
69,5658,31.204433,75.876799,0,0,0,6,0,73351.6728,2021
203,5659,26.3049388,89.6188889,0,0,0,6,0,73351.6728,2021
390,5660,26.309387,91.716408,0,0,0,6,0,73351.6728,2021
395,5661,13.194889,79.017469,0,0,0,6,0,73351.6728,2021
558,5662,26.6847777,89.2308333,0,0,0,6,0,73351.6728,2021
593,5663,18.67605,76.39189,0,0,0,6,0,73351.6728,2021
630,5664,26.8733055,88.9147222,0,0,0,6,0,73351.6728,2021
